Date;Close price
2023-01-03;168.24000549316406
2023-01-04;168.75999450683594
2023-01-05;165.74000549316406
2023-01-06;170.89999389648438
2023-01-09;177.4499969482422
2023-01-10;179.3300018310547
2023-01-11;181.42999267578125
2023-01-12;184.0800018310547
2023-01-13;188.1300048828125
2023-01-17;184.47000122070312
2023-01-18;182.27000427246094
2023-01-19;184.05999755859375
2023-01-20;185.02000427246094
2023-01-23;188.9499969482422
2023-01-24;188.9600067138672
2023-01-25;192.17999267578125
2023-01-26;192.3300018310547
2023-01-27;191.61000061035156
2023-01-30;191.4600067138672
2023-01-31;195.44000244140625
2023-02-01;198.38999938964844
2023-02-02;198.5399932861328
2023-02-03;198.19000244140625
2023-02-06;195.9499969482422
2023-02-07;188.5800018310547
2023-02-08;185.0
2023-02-09;183.80999755859375
2023-02-10;184.5500030517578
2023-02-13;190.32000732421875
2023-02-14;193.89999389648438
2023-02-15;198.99000549316406
2023-02-16;196.0500030517578
2023-02-17;189.25999450683594
2023-02-21;189.77000427246094
2023-02-22;193.58999633789062
2023-02-23;195.0399932861328
2023-02-24;193.5500030517578
2023-02-27;194.97000122070312
2023-02-28;200.30999755859375
2023-03-01;221.05999755859375
2023-03-02;218.30999755859375
2023-03-03;220.9499969482422
2023-03-06;221.3800048828125
2023-03-07;222.24000549316406
2023-03-08;221.8000030517578
2023-03-09;217.88999938964844
2023-03-10;213.0
2023-03-13;211.0
2023-03-14;215.0
2023-03-15;211.2100067138672
2023-03-16;216.97999572753906
2023-03-17;213.1199951171875
2023-03-20;213.72000122070312
2023-03-21;219.67999267578125
2023-03-22;213.50999450683594
2023-03-23;215.72000122070312
2023-03-24;216.5800018310547
2023-03-27;218.58999633789062
2023-03-28;215.60000610351562
2023-03-29;216.8300018310547
2023-03-30;217.6999969482422
2023-03-31;224.85000610351562
2023-04-03;227.38999938964844
2023-04-04;223.0
2023-04-05;217.2899932861328
2023-04-06;219.7100067138672
2023-04-10;222.6300048828125
2023-04-11;224.00999450683594
2023-04-12;222.22000122070312
2023-04-13;223.30999755859375
2023-04-14;223.91000366210938
2023-04-17;225.57000732421875
2023-04-18;227.52999877929688
2023-04-19;226.33999633789062
2023-04-20;224.47000122070312
2023-04-21;225.02000427246094
2023-04-24;224.5
2023-04-25;220.85000610351562
2023-04-26;216.1300048828125
2023-04-27;215.5500030517578
2023-04-28;210.7100067138672
2023-05-01;216.0
2023-05-02;220.22000122070312
2023-05-03;220.8800048828125
2023-05-04;219.10000610351562
2023-05-05;219.91000366210938
2023-05-08;221.86000061035156
2023-05-09;226.8800048828125
2023-05-10;192.72999572753906
2023-05-11;204.60000610351562
2023-05-12;201.5
2023-05-15;203.47000122070312
2023-05-16;201.2100067138672
2023-05-17;197.67999267578125
2023-05-18;201.6999969482422
2023-05-19;196.86000061035156
2023-05-22;201.75
2023-05-23;195.8000030517578
2023-05-24;192.80999755859375
2023-05-25;193.9600067138672
2023-05-26;194.9499969482422
2023-05-30;193.16000366210938
2023-05-31;192.91000366210938
2023-06-01;192.13999938964844
2023-06-02;193.25
2023-06-05;191.86000061035156
2023-06-06;194.8800048828125
2023-06-07;197.8800048828125
2023-06-08;194.74000549316406
