Date;Close price
2023-01-03;341.5799865722656
2023-01-04;354.0
2023-01-05;361.42999267578125
2023-01-06;367.7300109863281
2023-01-09;367.17999267578125
2023-01-10;374.6400146484375
2023-01-11;378.42999267578125
2023-01-12;385.4700012207031
2023-01-13;388.4700012207031
2023-01-17;388.3500061035156
2023-01-18;381.8599853515625
2023-01-19;384.20001220703125
2023-01-20;396.1099853515625
2023-01-23;396.010009765625
2023-01-24;392.0299987792969
2023-01-25;403.760009765625
2023-01-26;410.3900146484375
2023-01-27;394.4100036621094
2023-01-30;390.94000244140625
2023-01-31;384.30999755859375
2023-02-01;398.67999267578125
2023-02-02;412.25
2023-02-03;406.29998779296875
2023-02-06;404.5899963378906
2023-02-07;402.6099853515625
2023-02-08;403.29998779296875
2023-02-09;393.7699890136719
2023-02-10;396.94000244140625
2023-02-13;400.1300048828125
2023-02-14;400.1300048828125
2023-02-15;403.6099853515625
2023-02-16;400.3699951171875
2023-02-17;395.6199951171875
2023-02-21;377.9100036621094
2023-02-22;382.6499938964844
2023-02-23;383.2300109863281
2023-02-24;374.80999755859375
2023-02-27;375.04998779296875
2023-02-28;367.6099853515625
2023-03-01;362.5400085449219
2023-03-02;363.0899963378906
2023-03-03;369.9800109863281
2023-03-06;369.1099853515625
2023-03-07;357.8500061035156
2023-03-08;353.8699951171875
2023-03-09;343.010009765625
2023-03-10;329.489990234375
2023-03-13;335.260009765625
2023-03-14;336.1400146484375
2023-03-15;341.94000244140625
2023-03-16;346.45001220703125
2023-03-17;350.010009765625
2023-03-20;348.75
2023-03-21;352.2900085449219
2023-03-22;341.8299865722656
2023-03-23;342.1700134277344
2023-03-24;343.95001220703125
2023-03-27;348.3599853515625
2023-03-28;345.5400085449219
2023-03-29;349.7099914550781
2023-03-30;349.04998779296875
2023-03-31;357.6099853515625
2023-04-03;356.2099914550781
2023-04-04;348.1199951171875
2023-04-05;353.1199951171875
2023-04-06;350.2699890136719
2023-04-10;353.8900146484375
2023-04-11;358.5199890136719
2023-04-12;343.2799987792969
2023-04-13;347.6300048828125
2023-04-14;341.5
2023-04-17;346.19000244140625
2023-04-18;343.32000732421875
2023-04-19;343.6700134277344
2023-04-20;336.0
2023-04-21;332.7099914550781
2023-04-24;330.8299865722656
2023-04-25;323.94000244140625
2023-04-26;320.6300048828125
2023-04-27;342.75
2023-04-28;368.70001220703125
2023-05-01;366.510009765625
2023-05-02;357.2300109863281
2023-05-03;356.8999938964844
2023-05-04;348.7799987792969
2023-05-05;350.8500061035156
2023-05-08;350.5
2023-05-09;339.0
2023-05-10;339.94000244140625
2023-05-11;341.7099914550781
2023-05-12;338.0899963378906
2023-05-15;343.239990234375
2023-05-16;335.3399963378906
2023-05-17;338.5400085449219
2023-05-18;343.6099853515625
2023-05-19;340.3999938964844
2023-05-22;341.489990234375
2023-05-23;336.44000244140625
2023-05-24;331.239990234375
2023-05-25;319.6600036621094
2023-05-26;330.25
2023-05-30;333.3399963378906
2023-05-31;326.1499938964844
2023-06-01;328.0199890136719
2023-06-02;329.32000732421875
2023-06-05;334.9100036621094
2023-06-06;329.0
2023-06-07;336.7099914550781
2023-06-08;336.17999267578125
